Name Angebot,Ansprechpartner,Branche,Initiative,Interesse/ Kategorie,Leuchtturmthema 2026,"Merchartikel, Infoblatt, Websitelink?",Um was geht´s?
Event-Förderungen,"Magnus Gebauer, Jacqueline Hoffmann","Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MNB,"Coaching & Mentoring, Förderprogramme, Kontakte & PR & Marketing, Veranstaltung & Event",,https://mediennetzwerk-bayern.de/foerderung/,"Förderung von Events der bayerischen Medienbranche- u.a. Organisation und Durchführung von Events, die neue Impulse für die Branche geben und verschiedene Akteure am Standort nachhaltig vernetzen. Unterstützung reicht von intensiver kommunikativer Begleitung bis hin zu finanzieller Förderung.
Unter anderem unterstützen wir folgende Formate:
Augsburger Medienpreis // Book meets Film // Chiemgauer Medienwochen // DigiCamp // Druck und Design // Kurzfilmwoche Regensburg // Münchner Bücherschau // So Many Voices // Vision Award"
Frankfurter Buchmesse,Nina Labaute,"Audio, Games & XR, Journalismus, Start-up Branche","MNB, XPLR","Kontakte & PR & Marketing, Veranstaltung & Event",,,"XPLR: MEDIA präsentiert jedes Jahr an seinem Stand die Nominierten des Bayerischen Buchpreises, die besten bayerischen Independent Books und vier innovative Projekte und Unternehmen aus der bayerischen Buch- und Verlagswelt. Interessierte Unternehmen/Projekte für die kostenlosen Standflächen können gerne auf uns zukommen"
Book meets Film,Jacqueline Hoffmann,,MNB,"Kontakte & PR & Marketing, Veranstaltung & Event",,Link: Bewerbungsfrist- wo?,
Standortmonitor,Magnus Gebauer,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MNB,"Kontakte & PR & Marketing, Trends & Studien & Reports",,https://mediennetzwerk-bayern.de/medienstandort-bayern/,Standortzahlen und Auswertungen zur bayerischen KuK-Wirtschaft
MedienNetzwerk Bayern Thinktank,Jacqueline Hoffmann,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MNB,"Trends & Studien & Reports, Veranstaltung & Event",,https://mediennetzwerk-bayern.de/thinktank/,"Unterstützung bei neuen Digitalthemen- 
• Basis-Input als individueller Inhouse-Workshop
• Sessions zur Ideenentwicklung und Konzeption passender https://mediennetzwerk-bayern.de/thinktank/web3/– & https://mediennetzwerk-bayern.de/thinktank/ki/-Projekte
• Publikationen in Form von Deepdives
• Offene Veranstaltungen
• Unterstützung bei der Suche nach Expert:innen und Kooperationspartnern für Projekte
• Online-Workshops"
Roundtable Technologieaustausch,Magnus Gebauer,,MNB,"Kontakte & PR & Marketing, Veranstaltung & Event",,,Unterstützung zum Austausch zu aktuellen Technologiethemen der produzierenden Unternehmen
Media For You - Die Career-Erlebismesse,Miriam - SIM,"Audio, Games & XR, Journalismus, PR & Marketing",SIM,Veranstaltung & Event,,https://www.startintomedia.de/mediaforyou,Sichtbarkeit des Unternehmens / der Branche bei interessierten Talenten (Schüler:innen und Studierende) in einem innovativen Messeformat und Zugang zu Gen Z & Gen Alpha | München (Oktober) & Nürnberg (Mai)
Future Skills Förderung,Miriam - SIM,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing",SIM,Förderprogramme,,https://www.startintomedia.de/fuer-ausbilder-innen/future-skills-foerderung,Fördertopf von 100k für Anstoßfinanzierung: neue Ausbildungsformate und/oder -inhalte (Bewerbung startet ca. Ende Q1 2025)
Vermittlungsplattform Medienprofis im Klassenzimmer,Miriam - SIM,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",SIM,Kontakte & PR & Marketing,,https://www.klassenzimmer-medienprofis.de/,"Vermittlungsplattform: Brücke zw. Medienbranche und Schulen, um engagierten Medienschaffenden die Möglichkeit zu geben bei der Berufsorientierung mit ihren Geschichten zu unterstützen und jungen Menschen einen authentischen Einblick in die Arbeitswelt zu bieten (Start 25.10.)"
"Next Level! ",Miriam - SIM,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",SIM,Trends & Studien & Reports,,https://www.startintomedia.de/fuer-ausbilder-innen/next-level#ratgeberdownload,"Whitepaper-Serie voller Best Cases im Bereich Recruiting, Ausbildung, Unternehmenskultur ect. mit Vorschlägen für verschiedene Implementierungslevel im eigenen Unternehmen  
"
Ein Tag im Leben einer/s …. -Videos für Medienberufe,Miriam - SIM,HR & Recruitung,SIM,Aus- und Weiterbildung,,Kontaktadresse EMail: Alex Büsing,"Wir suchen noch nach Firmen, die sich gerne auf unserer Infoplattform und auf Social Media präsentieren möchten. Unser Konzept beinhaltet, dass wir mit einem kleinen Team vorbei kommen und unsere Werkstudentin einen Mitarbeitenden als Hospitantin begleitet und somit einen konkreten Einblick in ein bestimmtes Berufsbild gibt. Das Unternehmen wird namentlich und mit Co-Autorpostings gefeatured. (Das ist natürlich ein Arbeitstitel)"
Angebotsdatenbank “Qualifizierungsangebote für Medien in Bayern”,Miriam - SIM,HR & Recruitung,SIM,Aus- und Weiterbildung,,https://www.startintomedia.de/angebotsdatenbank/formular,"Qualifizierungs­angebote für Medien in Bayern. Hier kannst du Studiengänge, Ausbildungsplätze und Weiterbildungsangebot für Medienberufe in Bayern eintragen. "
Co-Working im Media Lab Bayern Open Space - München & Ansbach,"Alicia Fricke, Sebastian Frost","Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MLB,Kontakte & PR & Marketing,,https://www.media-lab.de/de/community/open-space/,"Miete deinen Arbeitsplatz oder Meetingräume bei der http://Medien.BAyern GmbH in München oder Ansbach. "
MEDIA meets …,"Magnus Gebauer, Jacqueline Hoffmann","Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MNB,"Kontakte & PR & Marketing, Veranstaltung & Event",,https://mediennetzwerk-bayern.de/unsere-event-formate/,Konferenzreihe „MEDIA meets …“ bringt branchenübergreifend relevante Zukunftsthemen auf die Bühne. Austauschplattform für die Medienbranche mit anderen Industrien.
